customerid,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment,cluster_id,country,first_purchase_date,last_purchase_date,PCA1,PCA2,business_segment,action_category,segment_description
12931,22,15,42055.96,4,4,5,445,Champions,3,United Kingdom,2010-12-17 09:45:00,2011-11-18 12:39:00,3.481049077916124,1.5831411768051455,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
17841,2,124,40519.84,5,4,5,545,Champions,3,United Kingdom,2010-12-01 14:41:00,2011-12-08 12:07:00,6.101636584092738,1.0646925613592777,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
15098,182,3,39916.5,1,2,5,125,Lost,2,United Kingdom,2011-06-10 15:22:00,2011-06-10 15:33:00,1.409628977595338,2.348618990122583,Established Valuable,Nurture,Customers with established repeat purchasing behavior and materially higher monetary contribution than the lower-value groups.
13798,1,57,37153.85,5,4,5,545,Champions,3,United Kingdom,2010-12-02 17:24:00,2011-12-08 15:51:00,5.5205874484005495,0.4823433946988327,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
16013,4,47,37130.6,5,4,5,545,Champions,3,United Kingdom,2010-12-03 13:09:00,2011-12-06 10:36:00,4.999031723440909,0.9905961959610028,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
16422,17,51,34684.4,4,4,5,445,Champions,3,United Kingdom,2010-12-05 15:35:00,2011-11-22 14:00:00,4.549831604100816,1.8084237051772811,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
15838,11,19,33643.08,5,4,5,545,Champions,3,United Kingdom,2010-12-07 11:26:00,2011-11-28 14:00:00,3.82566038858767,1.1747812371647606,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
12748,1,209,33053.19,5,4,5,545,Champions,3,United Kingdom,2010-12-01 12:48:00,2011-12-09 12:20:00,6.629389339935984,0.9319257637441388,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
17404,4,15,31906.82,5,4,5,545,Champions,3,Sweden,2010-12-14 13:28:00,2011-12-05 16:26:00,3.933050210188491,0.5151356417505519,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
17389,1,34,31833.68,5,4,5,545,Champions,3,United Kingdom,2011-01-12 15:48:00,2011-12-09 09:38:00,4.990271677197168,0.2328511747931626,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
13098,1,28,28882.44,5,4,5,545,Champions,3,United Kingdom,2011-01-26 13:46:00,2011-12-08 14:14:00,4.773980986088823,0.1254848310216373,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
14680,25,16,28754.11,4,4,5,445,Champions,3,United Kingdom,2010-12-03 12:05:00,2011-11-14 16:59:00,3.308793688272603,1.5455794057968744,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
13081,12,11,28337.38,5,4,5,545,Champions,3,United Kingdom,2010-12-03 17:20:00,2011-11-28 10:54:00,3.251483478907744,0.9676175320367312,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
13408,2,62,28117.04,5,4,5,545,Champions,3,United Kingdom,2010-12-01 10:39:00,2011-12-08 09:05:00,5.30838602080958,0.669515964117258,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
17857,4,23,26879.04,5,4,5,545,Champions,3,United Kingdom,2010-12-09 11:35:00,2011-12-05 13:13:00,4.218637665546382,0.6077849941406674,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
16333,8,22,26626.8,5,4,5,545,Champions,3,United Kingdom,2011-02-03 10:50:00,2011-12-02 12:19:00,3.95112335706636,0.9606903645753708,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
13777,1,33,25977.16,5,4,5,545,Champions,3,United Kingdom,2010-12-01 16:01:00,2011-12-09 12:25:00,4.867646125695704,0.1477201069445133,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
12753,23,6,21429.39,4,3,5,435,Loyal Customers,3,Japan,2010-12-12 11:44:00,2011-11-17 10:52:00,2.397079498798281,1.0483483983126898,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
12744,52,7,21279.29,3,4,5,345,Loyal Customers,3,Singapore,2011-01-25 13:26:00,2011-10-19 11:18:00,2.2119407710517462,1.5990950594839075,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
16210,2,18,21086.3,5,4,5,545,Champions,3,United Kingdom,2010-12-01 12:27:00,2011-12-08 12:36:00,4.087299340711676,0.1061948689353661,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
17675,1,31,20374.28,5,4,5,545,Champions,3,United Kingdom,2010-12-07 13:22:00,2011-12-08 18:03:00,4.697600868988294,0.0360524625038545,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
17381,9,29,20275.61,5,4,5,545,Champions,3,United Kingdom,2010-12-02 12:58:00,2011-12-01 11:59:00,4.022098674351829,1.0298776660208144,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
12471,2,30,19788.65,5,4,5,545,Champions,3,Germany,2010-12-10 09:35:00,2011-12-07 15:43:00,4.500157896332591,0.2703254328735631,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
15039,10,47,19766.59,5,4,5,545,Champions,3,United Kingdom,2010-12-06 11:26:00,2011-11-30 11:31:00,4.398923243180368,1.2608242518391386,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
12731,24,12,18895.91,4,4,5,445,Champions,3,France,2010-12-10 10:56:00,2011-11-16 11:59:00,2.881975717874051,1.2652005295092332,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
15159,2,30,18641.01,5,4,5,545,Champions,3,United Kingdom,2010-12-13 15:44:00,2011-12-08 12:05:00,4.471831161557884,0.2485673442998123,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
12901,9,28,17654.54,5,4,5,545,Champions,3,United Kingdom,2011-03-14 10:41:00,2011-12-01 10:07:00,3.925790635184376,0.9664970798125164,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
12678,42,12,17628.46,3,4,5,345,Loyal Customers,3,France,2010-12-21 11:00:00,2011-10-28 13:04:00,2.6418897000704296,1.5837137309525176,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
14031,7,19,17286.86,5,4,5,545,Champions,3,United Kingdom,2010-12-02 16:34:00,2011-12-02 17:13:00,3.664839025900948,0.6752432596022703,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
17428,1,28,17256.85,5,4,5,545,Champions,3,United Kingdom,2010-12-06 09:37:00,2011-12-09 09:45:00,4.529790253071918,-0.0620808605460034,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
13767,2,37,17220.36,5,4,5,545,Champions,3,United Kingdom,2010-12-01 10:47:00,2011-12-07 15:00:00,4.618474939579982,0.2975785254055714,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
13881,4,20,17159.52,5,4,5,545,Champions,3,United Kingdom,2011-02-01 10:14:00,2011-12-06 12:50:00,3.88502229673601,0.3932616846933919,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
16839,9,34,16594.35,5,4,5,545,Champions,3,United Kingdom,2010-12-05 11:15:00,2011-12-01 09:03:00,4.066588686648609,1.0158766646756512,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
12921,9,37,16587.09,5,4,5,545,Champions,3,United Kingdom,2010-12-01 15:06:00,2011-11-30 16:22:00,4.140795255034628,1.0471749978688336,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
17677,2,30,16345.38,5,4,5,545,Champions,3,United Kingdom,2010-12-06 08:42:00,2011-12-08 09:56:00,4.409521824831967,0.2007068309636705,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
15189,1,41,16225.39,5,4,5,545,Champions,3,United Kingdom,2011-01-11 12:29:00,2011-12-08 13:22:00,4.835705684566439,0.0571491809210371,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
14607,16,14,16209.5,4,4,5,445,Champions,3,United Kingdom,2011-03-23 15:22:00,2011-11-24 10:35:00,3.086077729095933,1.0196073319438592,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
15856,4,27,16143.64,5,4,5,545,Champions,3,United Kingdom,2010-12-09 13:34:00,2011-12-05 17:09:00,4.116400037059207,0.4810808157514113,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
14051,1,23,15610.39,5,4,5,545,Champions,3,United Kingdom,2010-12-08 12:49:00,2011-12-09 10:20:00,4.311010717139031,-0.1709870949319036,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
15513,33,19,14758.22,4,4,5,445,Champions,3,United Kingdom,2010-12-01 11:22:00,2011-11-06 14:36:00,3.0371375405173566,1.5349031210469268,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
16133,4,33,14589.04,5,4,5,545,Champions,3,United Kingdom,2011-01-25 15:55:00,2011-12-06 11:24:00,4.244076455253251,0.5184740049006391,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
14866,11,12,14389.9,5,4,5,545,Champions,3,United Kingdom,2010-12-08 14:58:00,2011-11-29 11:45:00,3.0331893863750987,0.7007010184203248,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
16705,1,20,14034.99,5,4,5,545,Champions,3,United Kingdom,2010-12-16 10:51:00,2011-12-09 12:08:00,4.139744588315395,-0.2608080985325246,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
12681,15,22,13787.54,4,4,5,445,Champions,3,France,2010-12-07 10:08:00,2011-11-25 11:33:00,3.419285108790559,1.085744950068443,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
12621,2,20,13689.67,5,4,5,545,Champions,3,Germany,2010-12-09 10:16:00,2011-12-08 11:25:00,3.9730464329720823,-0.0128416042210029,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
12540,20,17,13400.24,4,4,5,445,Champions,3,Spain,2010-12-13 09:39:00,2011-11-20 11:31:00,3.0800962695775445,1.1539929202362558,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
12433,1,7,13375.87,5,4,5,545,Champions,3,Norway,2010-12-01 13:24:00,2011-12-09 10:02:00,3.2436748061913887,-0.6474879774841545,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
15498,3,27,13316.4,5,4,5,545,Champions,3,United Kingdom,2010-12-08 12:29:00,2011-12-07 12:48:00,4.110357585788498,0.2695067161446224,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
12477,23,6,13219.74,4,3,5,435,Loyal Customers,3,Germany,2011-02-11 12:45:00,2011-11-17 09:51:00,2.168051363744612,0.8724292714520696,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
17735,2,19,13110.02,5,4,5,545,Champions,3,United Kingdom,2010-12-07 10:32:00,2011-12-07 16:47:00,3.908385447082976,-0.0472608233359957,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
16525,2,26,13027.45,5,4,5,545,Champions,3,United Kingdom,2010-12-08 11:31:00,2011-12-07 15:07:00,4.176942814660676,0.0652341893039857,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
14258,9,9,12669.98,5,4,5,545,Champions,3,United Kingdom,2011-01-06 12:18:00,2011-11-30 15:27:00,2.805081343416387,0.4384047748752043,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
13078,3,26,12627.94,5,4,5,545,Champions,3,United Kingdom,2010-12-08 09:07:00,2011-12-06 15:36:00,4.052281536664292,0.2362632473450086,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
12536,43,3,12601.83,3,2,5,325,Need Attention,2,France,2011-10-11 14:52:00,2011-10-27 14:20:00,1.407438571591886,1.0251836263977634,Established Valuable,Nurture,Customers with established repeat purchasing behavior and materially higher monetary contribution than the lower-value groups.
15640,4,15,12416.11,5,4,5,545,Champions,3,United Kingdom,2010-12-02 15:40:00,2011-12-05 14:35:00,3.485553687036085,0.171408450295725,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
16000,3,3,12393.7,5,2,5,525,Potential Loyalists,3,United Kingdom,2011-12-07 12:14:00,2011-12-07 12:17:00,2.3155339344839683,-0.5009931333202287,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
17340,30,11,12353.29,4,4,5,445,Champions,3,United Kingdom,2010-12-08 15:56:00,2011-11-10 10:45:00,2.525862316870835,1.2161644127868991,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
12682,4,31,12279.82,5,4,5,545,Champions,3,France,2010-12-03 13:59:00,2011-12-06 10:00:00,4.107522406062142,0.4325313395434229,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
13113,1,24,12245.96,5,4,5,545,Champions,3,United Kingdom,2010-12-08 13:21:00,2011-12-09 12:49:00,4.232860470392794,-0.2437726482574759,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
14606,1,93,12076.15,5,4,5,545,Champions,3,United Kingdom,2010-12-01 16:57:00,2011-12-08 19:28:00,5.424655064061572,0.25775856277325,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
12557,16,5,11990.96,4,3,5,435,Loyal Customers,3,Spain,2010-12-03 12:20:00,2011-11-23 16:59:00,2.114040753967693,0.559328561419126,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
12939,64,8,11581.8,3,4,5,345,Loyal Customers,3,United Kingdom,2011-01-09 11:20:00,2011-10-06 14:33:00,1.952144136468929,1.5520018411353345,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
15125,25,15,11528.48,4,4,5,445,Champions,3,United Kingdom,2011-03-14 09:59:00,2011-11-14 13:57:00,2.820602155188114,1.1895399720950488,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
14194,5,21,11349.52,5,4,5,545,Champions,3,United Kingdom,2011-02-04 14:51:00,2011-12-05 10:38:00,3.661478796140311,0.3760936271957268,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
12971,4,86,11189.91,5,4,5,545,Champions,3,United Kingdom,2010-12-02 16:42:00,2011-12-06 12:20:00,4.968472659379975,0.7812689688398649,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
14895,8,20,11138.71,5,4,5,545,Champions,3,United Kingdom,2011-02-22 13:08:00,2011-12-02 09:23:00,3.4556086261239187,0.6085098185345228,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
12409,79,3,11072.67,2,2,5,225,Hibernating,2,Switzerland,2011-06-10 12:19:00,2011-09-22 10:38:00,1.117733453350856,1.3570637035845987,Established Valuable,Nurture,Customers with established repeat purchasing behavior and materially higher monetary contribution than the lower-value groups.
17581,1,25,11025.24,5,4,5,545,Champions,3,United Kingdom,2010-12-02 14:47:00,2011-12-09 12:21:00,4.218563496552987,-0.2670113499430481,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
15482,16,12,10879.76,4,4,5,445,Champions,3,United Kingdom,2010-12-16 10:08:00,2011-11-24 10:46:00,2.767563044570024,0.8196736206510556,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
13319,5,26,10845.55,5,4,5,545,Champions,3,United Kingdom,2010-12-09 10:04:00,2011-12-04 13:34:00,3.825254776185609,0.4378906508821742,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
17107,33,6,10797.48,4,3,5,435,Loyal Customers,3,United Kingdom,2011-03-06 15:17:00,2011-11-06 14:14:00,1.9390386244270936,1.0195252000126571,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
13340,45,7,10736.48,3,4,5,345,Loyal Customers,3,United Kingdom,2011-03-08 11:39:00,2011-10-25 13:15:00,1.9417092058811152,1.2601670867243024,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
17139,16,12,10650.77,4,4,5,445,Champions,3,United Kingdom,2011-02-24 09:32:00,2011-11-24 10:12:00,2.757477748058057,0.8119269891898171,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
16779,2,22,10611.72,5,4,5,545,Champions,3,United Kingdom,2010-12-08 09:56:00,2011-12-07 14:54:00,3.9346141727324304,-0.0707918417041862,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
17865,31,20,10526.32,4,4,5,445,Champions,3,United Kingdom,2010-12-10 14:53:00,2011-11-09 12:08:00,2.9442299309716646,1.392071681978057,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
17706,4,17,10504.49,5,4,5,545,Champions,3,United Kingdom,2010-12-08 11:02:00,2011-12-05 13:34:00,3.5128628710832825,0.1555760664754083,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
15251,9,11,10484.99,5,4,5,545,Champions,3,United Kingdom,2011-04-12 10:38:00,2011-11-30 15:02:00,2.8803115581199314,0.4392118729565806,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
14062,10,12,10464.85,5,4,5,545,Champions,3,United Kingdom,2010-12-10 15:56:00,2011-11-30 10:04:00,2.915419213800869,0.529550149033271,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
14769,3,8,10416.98,5,4,5,545,Champions,3,United Kingdom,2010-12-17 11:40:00,2011-12-07 10:24:00,2.966935222184155,-0.2540716319042038,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
15615,10,23,10399.74,5,4,5,545,Champions,3,United Kingdom,2010-12-15 16:21:00,2011-11-29 14:42:00,3.4672344844647207,0.7618018619878945,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
15502,16,12,10384.93,4,4,5,445,Champions,3,United Kingdom,2010-12-05 15:40:00,2011-11-24 12:48:00,2.745493907287205,0.8027220641951174,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
16180,100,8,10254.18,2,4,5,245,At Risk,2,United Kingdom,2011-04-01 10:23:00,2011-08-31 16:28:00,1.7260620269119051,1.7870608533498875,Established Valuable,Nurture,Customers with established repeat purchasing behavior and materially higher monetary contribution than the lower-value groups.
16843,43,16,10196.57,3,4,5,345,Loyal Customers,3,United Kingdom,2011-01-16 16:10:00,2011-10-28 09:06:00,2.6162862137181344,1.5015304720253282,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
12590,211,2,9864.26,1,1,5,115,Lost,2,Germany,2011-05-12 14:46:00,2011-05-12 14:52:00,0.4303523266077454,1.82274388951041,Established Valuable,Nurture,Customers with established repeat purchasing behavior and materially higher monetary contribution than the lower-value groups.
13199,4,38,9817.12,5,4,5,545,Champions,3,United Kingdom,2010-12-08 10:51:00,2011-12-06 12:30:00,4.180406896344668,0.4266913802776521,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
13001,4,13,9785.97,5,4,5,545,Champions,3,United Kingdom,2011-01-17 12:45:00,2011-12-05 14:51:00,3.2518662020795364,0.0336408899727853,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
15078,7,32,9743.11,5,4,5,545,Champions,3,United Kingdom,2010-12-06 12:38:00,2011-12-02 15:41:00,3.8461179582556944,0.6579862521039807,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
