customerid,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment,cluster_id,country,first_purchase_date,last_purchase_date,PCA1,PCA2
16779,2,22,10611.72,5,4,5,545,Champions,3,United Kingdom,2010-12-08 09:56:00,2011-12-07 14:54:00,3.9346141727324304,-0.07079184170418623
17865,31,20,10526.32,4,4,5,445,Champions,3,United Kingdom,2010-12-10 14:53:00,2011-11-09 12:08:00,2.9442299309716646,1.392071681978057
17706,4,17,10504.49,5,4,5,545,Champions,3,United Kingdom,2010-12-08 11:02:00,2011-12-05 13:34:00,3.5128628710832825,0.1555760664754083
15251,9,11,10484.99,5,4,5,545,Champions,3,United Kingdom,2011-04-12 10:38:00,2011-11-30 15:02:00,2.8803115581199314,0.43921187295658065
14062,10,12,10464.85,5,4,5,545,Champions,3,United Kingdom,2010-12-10 15:56:00,2011-11-30 10:04:00,2.9154192138008694,0.529550149033271
14769,3,8,10416.98,5,4,5,545,Champions,3,United Kingdom,2010-12-17 11:40:00,2011-12-07 10:24:00,2.966935222184155,-0.2540716319042038
15615,10,23,10399.74,5,4,5,545,Champions,3,United Kingdom,2010-12-15 16:21:00,2011-11-29 14:42:00,3.4672344844647207,0.7618018619878945
15502,16,12,10384.93,4,4,5,445,Champions,3,United Kingdom,2010-12-05 15:40:00,2011-11-24 12:48:00,2.7454939072872055,0.8027220641951174
16180,100,8,10254.18,2,4,5,245,At Risk,2,United Kingdom,2011-04-01 10:23:00,2011-08-31 16:28:00,1.7260620269119051,1.7870608533498875
16843,43,16,10196.57,3,4,5,345,Loyal Customers,3,United Kingdom,2011-01-16 16:10:00,2011-10-28 09:06:00,2.6162862137181344,1.5015304720253282
12590,211,2,9864.26,1,1,5,115,Lost,2,Germany,2011-05-12 14:46:00,2011-05-12 14:52:00,0.4303523266077454,1.82274388951041
13199,4,38,9817.12,5,4,5,545,Champions,3,United Kingdom,2010-12-08 10:51:00,2011-12-06 12:30:00,4.180406896344668,0.42669138027765213
13001,4,13,9785.97,5,4,5,545,Champions,3,United Kingdom,2011-01-17 12:45:00,2011-12-05 14:51:00,3.2518662020795364,0.033640889972785346
15078,7,32,9743.11,5,4,5,545,Champions,3,United Kingdom,2010-12-06 12:38:00,2011-12-02 15:41:00,3.8461179582556944,0.6579862521039807
12709,15,15,9706.52,4,4,5,445,Champions,3,Germany,2010-12-08 09:49:00,2011-11-24 15:38:00,2.924507384893453,0.819113675641009
13458,7,14,9646.57,5,4,5,545,Champions,3,United Kingdom,2010-12-15 12:05:00,2011-12-02 15:29:00,3.12795255018912,0.3527593788825295
14733,16,12,9585.91,4,4,5,445,Champions,3,United Kingdom,2010-12-07 11:30:00,2011-11-23 15:39:00,2.70753615252935,0.7735662791513863
16523,2,21,9418.47,5,4,5,545,Champions,3,United Kingdom,2011-01-28 12:06:00,2011-12-08 09:06:00,3.837836861452238,-0.1312357896686219
12567,23,10,9401.28,4,4,5,445,Champions,3,France,2010-12-05 11:57:00,2011-11-17 11:02:00,2.4154264331209805,0.9211890846636397
14367,8,16,9227.82,5,4,5,545,Champions,3,United Kingdom,2011-03-08 14:12:00,2011-12-01 13:19:00,3.175174312889899,0.45914212728718934
14667,11,25,9175.04,5,4,5,545,Champions,3,United Kingdom,2010-12-06 13:13:00,2011-11-29 11:30:00,3.4470210464312188,0.8019514549986227
18092,2,11,9068.26,5,4,5,545,Champions,3,United Kingdom,2010-12-09 10:00:00,2011-12-07 13:14:00,3.271403366457535,-0.37689373636715223
12451,11,5,9035.52,5,3,5,535,Loyal Customers,3,Switzerland,2011-01-19 09:05:00,2011-11-29 08:40:00,2.1129250772172585,0.23546836758167702
13969,7,18,9024.17,5,4,5,545,Champions,3,United Kingdom,2010-12-09 19:32:00,2011-12-02 15:11:00,3.310230692151672,0.4188944342798765
13488,17,13,8968.31,4,4,5,445,Champions,3,United Kingdom,2010-12-07 13:01:00,2011-11-22 14:41:00,2.7211852025200054,0.8138964930863946
13090,9,14,8910.82,5,4,5,545,Champions,3,United Kingdom,2010-12-02 07:48:00,2011-12-01 12:39:00,3.005098544007089,0.46532663705824495
16033,6,20,8778.82,5,4,5,545,Champions,3,United Kingdom,2010-12-05 10:36:00,2011-12-04 12:44:00,3.438732623340433,0.3624899992551431
17017,3,20,8694.26,5,4,5,545,Champions,3,United Kingdom,2010-12-02 10:17:00,2011-12-07 09:32:00,3.6479159271229546,0.004204749825975269
17306,11,19,8631.31,5,4,5,545,Champions,3,United Kingdom,2010-12-21 13:34:00,2011-11-29 12:14:00,3.1806547414543656,0.6793450313148964
16656,22,15,8625.8,4,4,5,445,Champions,3,United Kingdom,2010-12-10 11:23:00,2011-11-17 14:43:00,2.7299149552381943,1.006186476520159
17243,1,26,8540.05,5,4,5,545,Champions,3,United Kingdom,2010-12-05 10:03:00,2011-12-08 13:26:00,4.131616791255369,-0.3455904987838447
14527,3,55,8507.13,5,4,5,545,Champions,3,United Kingdom,2010-12-05 13:17:00,2011-12-07 12:19:00,4.525114346789197,0.37146773332643424
12683,4,15,8476.57,5,4,5,545,Champions,3,France,2010-12-09 10:37:00,2011-12-05 16:31:00,3.3045915029520456,0.032409329461094816
18139,18,6,8438.34,4,3,5,435,Loyal Customers,3,United Kingdom,2011-11-21 14:06:00,2011-11-22 10:44:00,2.0444515418452736,0.5608474220350284
15358,5,22,8347.2,5,4,5,545,Champions,3,United Kingdom,2010-12-09 10:04:00,2011-12-05 09:04:00,3.5560325220934295,0.28120732914900537
16558,1,20,8338.49,5,4,5,545,Champions,3,United Kingdom,2010-12-08 12:01:00,2011-12-09 10:20:00,3.8928884496783653,-0.4504211186055125
14056,1,23,8152.71,5,4,5,545,Champions,3,United Kingdom,2011-02-28 15:19:00,2011-12-08 13:36:00,4.003033529734689,-0.4075478907855018
14936,34,8,8137.02,3,4,5,345,Loyal Customers,3,Channel Islands,2011-03-09 11:53:00,2011-11-06 10:30:00,2.0212511361389316,1.0310158998865682
16672,2,20,8134.94,5,4,5,545,Champions,3,United Kingdom,2011-03-18 10:15:00,2011-12-07 16:29:00,3.726284834788314,-0.20238200669184878
13854,9,25,8109.52,5,4,5,545,Champions,3,United Kingdom,2010-12-09 10:48:00,2011-12-01 09:06:00,3.4581407161215565,0.6414161723498081
14952,60,11,8099.49,3,4,5,345,Loyal Customers,3,United Kingdom,2010-12-10 12:48:00,2011-10-11 10:33:00,2.067161947169318,1.4915442387823346
18109,2,26,8004.92,5,4,5,545,Champions,3,United Kingdom,2010-12-05 10:58:00,2011-12-08 11:36:00,3.9460507929123287,-0.1121166102191134
14796,1,17,7975.49,5,4,5,545,Champions,3,United Kingdom,2010-12-08 10:40:00,2011-12-08 15:31:00,3.732301890866345,-0.5255952008792607
12428,26,9,7956.46,4,4,5,445,Champions,3,Finland,2011-03-01 09:33:00,2011-11-14 08:22:00,2.2050818568441533,0.8986332464969884
15290,5,18,7943.22,5,4,5,545,Champions,3,United Kingdom,2010-12-15 16:03:00,2011-12-05 11:39:00,3.3596353547475672,0.19005991024823543
14849,22,25,7930.54,4,4,5,445,Champions,3,United Kingdom,2010-12-01 12:22:00,2011-11-18 10:58:00,3.1293904231538594,1.1613000235681497
12757,16,13,7834.65,4,4,5,445,Champions,3,Portugal,2011-05-12 19:01:00,2011-11-24 12:30:00,2.678949372113555,0.7284486473225116
13093,276,8,7832.47,1,4,5,145,At Risk,2,United Kingdom,2010-12-01 15:00:00,2011-03-09 12:14:00,1.212938617077734,2.3285284689955965
12435,80,2,7829.89,2,1,5,215,Hibernating,2,Denmark,2011-03-17 07:40:00,2011-09-21 09:06:00,0.688383723086142,1.1287000856867124
13629,23,11,7792.36,4,4,5,445,Champions,3,United Kingdom,2011-01-05 12:09:00,2011-11-16 13:21:00,2.4051700561306233,0.8861187468910708
17811,4,39,7761.82,5,4,5,545,Champions,3,United Kingdom,2011-01-10 10:58:00,2011-12-05 13:46:00,4.091944443602117,0.35083018334653526
15044,19,17,7634.73,4,4,5,445,Champions,3,United Kingdom,2010-12-12 14:27:00,2011-11-20 13:20:00,2.83201739091114,0.9181949983974946
15194,3,15,7616.53,5,4,5,545,Champions,3,United Kingdom,2010-12-06 15:00:00,2011-12-06 15:10:00,3.3391106762556024,-0.14800892295040924
18172,15,20,7561.68,4,4,5,445,Champions,3,United Kingdom,2011-02-23 10:44:00,2011-11-25 11:12:00,3.0521846918690247,0.8322009055808632
13263,1,35,7436.93,5,4,5,545,Champions,3,United Kingdom,2011-01-18 16:31:00,2011-12-08 13:59:00,4.326357443757966,-0.2859127334082792
12980,158,9,7374.9,2,4,5,245,At Risk,2,United Kingdom,2010-12-16 11:36:00,2011-07-05 09:34:00,1.4917890975598773,1.9950041002732704
15465,20,18,7354.62,4,4,5,445,Champions,3,United Kingdom,2010-12-05 10:12:00,2011-11-20 10:11:00,2.8445819205222374,0.9561948798206422
17396,39,8,7330.8,3,4,5,345,Loyal Customers,3,United Kingdom,2010-12-03 09:45:00,2011-10-31 14:12:00,1.920775726643293,1.0776703168455495
12474,17,18,7324.09,4,4,5,445,Champions,3,Germany,2011-01-14 10:06:00,2011-11-22 14:39:00,2.901495061996633,0.8569584309729491
12583,3,15,7281.38,5,4,5,545,Champions,3,France,2010-12-01 08:45:00,2011-12-07 08:07:00,3.31777631321459,-0.1643960909174491
13018,16,28,7277.7,4,4,5,445,Champions,3,United Kingdom,2011-02-17 11:05:00,2011-11-23 13:28:00,3.302943723491403,0.9801609095319317
18229,12,20,7276.9,5,4,5,545,Champions,3,United Kingdom,2010-12-01 16:25:00,2011-11-28 09:48:00,3.1133028757367653,0.6865915096874132
16729,38,21,7205.33,3,4,5,345,Loyal Customers,3,United Kingdom,2011-04-12 14:22:00,2011-11-01 14:29:00,2.7310434537923585,1.3972368251282574
16745,87,17,7180.7,2,4,5,245,At Risk,3,United Kingdom,2011-02-01 11:31:00,2011-09-14 11:58:00,2.236980530891822,1.8351106851935834
16873,5,6,7123.62,5,3,5,535,Loyal Customers,3,United Kingdom,2010-12-10 15:45:00,2011-12-05 12:05:00,2.4044756520366497,-0.23155465484323334
13324,36,10,7121.95,3,4,5,345,Loyal Customers,3,United Kingdom,2010-12-14 09:50:00,2011-11-03 16:28:00,2.118433293004152,1.0944830314350256
16923,12,19,7069.08,5,4,5,545,Champions,3,United Kingdom,2010-12-12 11:06:00,2011-11-27 13:00:00,3.055418007672479,0.6573771040813269
13985,4,15,7060.13,5,4,5,545,Champions,3,United Kingdom,2011-03-20 13:48:00,2011-12-05 17:06:00,3.217906973170868,-0.03417404811325729
14961,11,9,7044.68,5,4,5,545,Champions,3,United Kingdom,2010-12-14 11:38:00,2011-11-29 09:42:00,2.4571531288451927,0.3402335666348031
12766,4,7,6989.63,5,4,5,545,Champions,3,Portugal,2010-12-08 13:53:00,2011-12-06 08:46:00,2.585947284954797,-0.3029711149286444
12798,10,3,6977.04,5,2,5,525,Potential Loyalists,3,Japan,2011-06-22 10:11:00,2011-11-29 15:52:00,1.656701617549813,-0.06893870346953256
12989,3,15,6924.11,5,4,5,545,Champions,3,United Kingdom,2010-12-10 13:24:00,2011-12-06 15:28:00,3.2939244889805424,-0.18271694958533002
13027,114,6,6912.0,2,3,5,235,At Risk,2,United Kingdom,2010-12-20 12:45:00,2011-08-18 09:39:00,1.2620725266140909,1.6295857411398036
16187,32,15,6911.44,4,4,5,445,Champions,3,United Kingdom,2011-02-28 13:34:00,2011-11-08 09:50:00,2.4869589637955523,1.1543559839916628
16713,19,15,6910.78,4,4,5,445,Champions,3,United Kingdom,2010-12-08 13:01:00,2011-11-21 12:36:00,2.6782088490848412,0.8368617804295687
17416,30,7,6893.42,4,4,5,445,Champions,3,United Kingdom,2011-03-03 13:45:00,2011-11-10 12:47:00,1.8824021130999362,0.8486289141454784
12705,15,9,6868.29,4,4,5,445,Champions,3,Germany,2010-12-17 15:58:00,2011-11-24 13:17:00,2.3352374543391683,0.5133715540814487
12476,16,11,6816.42,4,4,5,445,Champions,3,Germany,2010-12-13 14:39:00,2011-11-24 12:40:00,2.473460692534223,0.618784733143506
12830,38,6,6814.64,3,3,5,335,Loyal Customers,3,United Kingdom,2011-06-21 10:53:00,2011-11-02 11:54:00,1.6684285987244518,0.9389004085117981
15601,11,14,6776.56,5,4,5,545,Champions,3,United Kingdom,2010-12-02 10:39:00,2011-11-28 15:15:00,2.8056466168849328,0.48120176134122744
16652,59,7,6773.97,3,4,5,345,Loyal Customers,2,United Kingdom,2011-03-11 13:13:00,2011-10-12 09:38:00,1.62185989119974,1.260887780726307
18055,7,10,6761.34,5,4,5,545,Champions,3,United Kingdom,2010-12-05 10:52:00,2011-12-02 14:25:00,2.67882041311049,0.10470369640281753
16532,18,3,6748.8,4,2,5,425,Potential Loyalists,2,United Kingdom,2011-01-05 12:37:00,2011-11-22 11:08:00,1.432154875218777,0.26542328030046103
15023,3,11,6720.41,5,4,5,545,Champions,3,United Kingdom,2010-12-05 13:49:00,2011-12-06 17:23:00,3.019455836153875,-0.3036347027906311
13576,10,18,6717.34,5,4,5,545,Champions,3,United Kingdom,2010-12-01 17:24:00,2011-11-29 15:34:00,3.048622547665768,0.5132692272437857
15249,32,13,6688.46,4,4,5,445,Champions,3,United Kingdom,2011-03-28 12:49:00,2011-11-08 11:45:00,2.350584281715004,1.0913354992203534
16746,5,18,6680.11,5,4,5,545,Champions,3,United Kingdom,2010-12-16 11:43:00,2011-12-05 12:33:00,3.2775303511556215,0.12699411905450955
